date,PM10,site,code
1555041600.0,33.54,Strathfoyle Bawnmore Place,1
1555045200.0,28.21,Strathfoyle Bawnmore Place,1
1555048800.0,38.44,Strathfoyle Bawnmore Place,1
1555052400.0,28.21,Strathfoyle Bawnmore Place,1
1555056000.0,22.49,Strathfoyle Bawnmore Place,1
1555059600.0,18.78,Strathfoyle Bawnmore Place,1
1555063200.0,23.05,Strathfoyle Bawnmore Place,1
1555066800.0,30.32,Strathfoyle Bawnmore Place,1
1555070400.0,26.87,Strathfoyle Bawnmore Place,1
1555074000.0,26.53,Strathfoyle Bawnmore Place,1
1555077600.0,23.13,Strathfoyle Bawnmore Place,1
1555081200.0,28.79,Strathfoyle Bawnmore Place,1
1555084800.0,21.18,Strathfoyle Bawnmore Place,1
1555088400.0,24.91,Strathfoyle Bawnmore Place,1
1555092000.0,27.5,Strathfoyle Bawnmore Place,1
1555095600.0,29.7,Strathfoyle Bawnmore Place,1
1555099200.0,28.7,Strathfoyle Bawnmore Place,1
1555102800.0,26.3,Strathfoyle Bawnmore Place,1
1555106400.0,19.66,Strathfoyle Bawnmore Place,1
1555110000.0,18.04,Strathfoyle Bawnmore Place,1
1555113600.0,16.8,Strathfoyle Bawnmore Place,1
1555117200.0,18.85,Strathfoyle Bawnmore Place,1
1555120800.0,18.21,Strathfoyle Bawnmore Place,1
1555124400.0,17.21,Strathfoyle Bawnmore Place,1
1555128000.0,19.11,Strathfoyle Bawnmore Place,1
1555131600.0,16.63,Strathfoyle Bawnmore Place,1
1555135200.0,12.32,Strathfoyle Bawnmore Place,1
1555138800.0,17.54,Strathfoyle Bawnmore Place,1
1555142400.0,18.03,Strathfoyle Bawnmore Place,1
1555146000.0,18.46,Strathfoyle Bawnmore Place,1
1555149600.0,25.78,Strathfoyle Bawnmore Place,1
1555153200.0,25.85,Strathfoyle Bawnmore Place,1
1555156800.0,29.9,Strathfoyle Bawnmore Place,1
1555160400.0,25.44,Strathfoyle Bawnmore Place,1
1555164000.0,19.23,Strathfoyle Bawnmore Place,1
1555167600.0,18.24,Strathfoyle Bawnmore Place,1
1555171200.0,18.67,Strathfoyle Bawnmore Place,1
1555174800.0,18.9,Strathfoyle Bawnmore Place,1
1555178400.0,19.43,Strathfoyle Bawnmore Place,1
1555182000.0,18.63,Strathfoyle Bawnmore Place,1
1555185600.0,15.83,Strathfoyle Bawnmore Place,1
1555189200.0,14.16,Strathfoyle Bawnmore Place,1
1555192800.0,14.03,Strathfoyle Bawnmore Place,1
1555196400.0,22.44,Strathfoyle Bawnmore Place,1
1555200000.0,18.84,Strathfoyle Bawnmore Place,1
1555203600.0,16.42,Strathfoyle Bawnmore Place,1
1555207200.0,17.41,Strathfoyle Bawnmore Place,1
1555210800.0,16.04,Strathfoyle Bawnmore Place,1
1555214400.0,17.06,Strathfoyle Bawnmore Place,1
1555218000.0,14.98,Strathfoyle Bawnmore Place,1
1555221600.0,8.67,Strathfoyle Bawnmore Place,1
1555225200.0,5.48,Strathfoyle Bawnmore Place,1
1555228800.0,13.26,Strathfoyle Bawnmore Place,1
1555232400.0,10.35,Strathfoyle Bawnmore Place,1
1555236000.0,8.84,Strathfoyle Bawnmore Place,1
1555239600.0,12.68,Strathfoyle Bawnmore Place,1
1555243200.0,12.54,Strathfoyle Bawnmore Place,1
1555246800.0,10.02,Strathfoyle Bawnmore Place,1
1555250400.0,13.61,Strathfoyle Bawnmore Place,1
1555254000.0,15.72,Strathfoyle Bawnmore Place,1
1555257600.0,17.4,Strathfoyle Bawnmore Place,1
1555261200.0,17.92,Strathfoyle Bawnmore Place,1
1555264800.0,18.55,Strathfoyle Bawnmore Place,1
1555268400.0,15.94,Strathfoyle Bawnmore Place,1
1555272000.0,18.2,Strathfoyle Bawnmore Place,1
1555275600.0,17.7,Strathfoyle Bawnmore Place,1
1555279200.0,17.56,Strathfoyle Bawnmore Place,1
1555282800.0,15.24,Strathfoyle Bawnmore Place,1
1555286400.0,12.94,Strathfoyle Bawnmore Place,1
1555290000.0,18.35,Strathfoyle Bawnmore Place,1
1555293600.0,18.08,Strathfoyle Bawnmore Place,1
1555297200.0,19.11,Strathfoyle Bawnmore Place,1
1555300800.0,19.78,Strathfoyle Bawnmore Place,1
1555304400.0,24.18,Strathfoyle Bawnmore Place,1
1555308000.0,25.61,Strathfoyle Bawnmore Place,1
1555311600.0,28.69,Strathfoyle Bawnmore Place,1
1555315200.0,45.41,Strathfoyle Bawnmore Place,1
1555318800.0,25.99,Strathfoyle Bawnmore Place,1
1555322400.0,17.87,Strathfoyle Bawnmore Place,1
1555326000.0,23.08,Strathfoyle Bawnmore Place,1
1555329600.0,30.99,Strathfoyle Bawnmore Place,1
1555333200.0,28.68,Strathfoyle Bawnmore Place,1
1555336800.0,32.63,Strathfoyle Bawnmore Place,1
1555340400.0,38.69,Strathfoyle Bawnmore Place,1
1555344000.0,34.94,Strathfoyle Bawnmore Place,1
1555347600.0,35.26,Strathfoyle Bawnmore Place,1
1555351200.0,33.17,Strathfoyle Bawnmore Place,1
1555354800.0,32.23,Strathfoyle Bawnmore Place,1
1555358400.0,33.61,Strathfoyle Bawnmore Place,1
1555362000.0,25.67,Strathfoyle Bawnmore Place,1
1555365600.0,21.58,Strathfoyle Bawnmore Place,1
1555369200.0,25.22,Strathfoyle Bawnmore Place,1
1555372800.0,21.98,Strathfoyle Bawnmore Place,1
1555376400.0,22.85,Strathfoyle Bawnmore Place,1
1555380000.0,24.39,Strathfoyle Bawnmore Place,1
1555383600.0,23.09,Strathfoyle Bawnmore Place,1
1555387200.0,22.7,Strathfoyle Bawnmore Place,1
1555390800.0,21.48,Strathfoyle Bawnmore Place,1
1555394400.0,22.99,Strathfoyle Bawnmore Place,1
1555398000.0,18.07,Strathfoyle Bawnmore Place,1
1555401600.0,27.31,Strathfoyle Bawnmore Place,1
1555405200.0,23.12,Strathfoyle Bawnmore Place,1
1555408800.0,22.8,Strathfoyle Bawnmore Place,1
1555412400.0,24.39,Strathfoyle Bawnmore Place,1
1555416000.0,28.19,Strathfoyle Bawnmore Place,1
1555419600.0,21.65,Strathfoyle Bawnmore Place,1
1555423200.0,25.89,Strathfoyle Bawnmore Place,1
1555426800.0,29.7,Strathfoyle Bawnmore Place,1
1555430400.0,31.33,Strathfoyle Bawnmore Place,1
1555434000.0,26.96,Strathfoyle Bawnmore Place,1
